Distribución;Tamaño;Mejor Tiempo;Peor Tiempo;Tiempo Medio;Uso de Memoria (bytes)
ascendente;1.000;0,01699790;0,02109680;0,01975974;4.000,00000000
ascendente;2.000;0,05556690;0,06885640;0,06206250;8.000,00000000
ascendente;3.000;0,14666600;0,19517840;0,17215672;12.000,00000000
ascendente;4.000;0,20757840;0,39414450;0,27283166;16.000,00000000
ascendente;5.000;0,29375690;0,40420060;0,32766086;20.000,00000000
descendente;1.000;0,03387820;0,04179940;0,03656298;4.000,00000000
descendente;2.000;0,14618400;0,21630510;0,16983376;8.000,00000000
descendente;3.000;0,34794530;0,54807850;0,40939752;12.000,00000000
descendente;4.000;0,54351350;0,66552240;0,59287522;16.000,00000000
descendente;5.000;0,86217690;0,95605610;0,88782240;20.000,00000000
uniforme;1.000;0,02357940;0,03952060;0,02888638;4.000,00000000
uniforme;2.000;0,09753090;0,13928640;0,11651264;8.000,00000000
uniforme;3.000;0,22509120;0,27905880;0,24106008;12.000,00000000
uniforme;4.000;0,40152340;0,44930570;0,41980322;16.000,00000000
uniforme;5.000;0,65949600;0,74745820;0,70306570;20.000,00000000
gaussiana;1.000;0,02499640;0,04182710;0,03231650;4.000,00000000
gaussiana;2.000;0,10375680;0,13187900;0,11575308;8.000,00000000
gaussiana;3.000;0,21479230;0,28019820;0,24020006;12.000,00000000
gaussiana;4.000;0,41440850;0,58695950;0,49884604;16.000,00000000
gaussiana;5.000;0,65004320;0,75390960;0,70208792;20.000,00000000
